"State_Name","Optimal_Shift"
"Iowa",1.47945322458295
"Nebraska",2.04176446834432
"Michigan",99.9999977926493
"Illinois",17.0364709806327
"Oregon",-4.53455042176856
"Georgia",14.2421297134065
"Wisconsin",2.99119821474529
"Arizona",50.7144729699031
"Indiana",30.8285744900078
"Maine",-27.7273670633521
"Minnesota",12.1050001102107
"Pennsylvania",-14.4943675669534
"South Carolina",1.40104603199403
"Colorado",-26.3752863317422
"California",6.87212930950465
"Utah",30.3109692276115
"New Jersey",50.6586073625465
"New York",-11.1496856849037
"Rhode Island",-23.6543641655616
"Connecticut",24.7805557911254
"Louisiana",-31.9606079049143
"North Carolina",21.2795309366778
"North Dakota",-26.2760739239835
"Delaware",50.1207293637419
"Kentucky",-37.3079409317132
"Maryland",-7.11760934343413
"Missouri",-10.4456698783688
